role_id,access_node_id
201,301
201,310
201,311
201,312
201,313
201,314
201,320
201,321
201,322
201,323
201,330
201,331
202,401
202,410
202,420
202,421
202,422
202,423
202,424
202,425
202,430
202,431
202,432
202,433
202,434
202,435
202,436
202,437
202,438
202,440
202,441
202,442
202,443
202,444
202,460
202,470
202,480
202,490
202,510
202,530
202,590
202,620
202,708
202,709
202,710
202,711
202,712
202,713
202,715
202,717
202,718
202,719
202,720
202,721
202,724
202,727
202,732
202,736
202,738
202,739
202,740
202,741
202,742
202,743
202,744
202,745
202,746
202,747
202,748
202,749
202,755
202,756
202,760
202,761
202,764
202,765
202,767
201,902
201,911
